norm,variant_id,4bit_orig,8bit_vector,DB_mean,DB_nice,DG_mean,DG_nice,CB_mean,CB_nice,CG_mean,CG_nice,Emotion_Leniency
SternJudging,Stern_Judging_v1,1001,11000011,1,1,0,0,0,0,1,1,1.0
SternJudging,Stern_Judging_v2,1001,11000001,1,1,0,0,0,0,0,1,0.75
SternJudging,Stern_Judging_v3,1001,11001011,1,1,0,0,1,0,1,1,0.75
SternJudging,Stern_Judging_v4,1001,11001001,1,1,0,0,1,0,0,1,0.5
SternJudging,Stern_Judging_v5,1001,11010011,1,1,0,1,0,0,1,1,0.75
SternJudging,Stern_Judging_v6,1001,11010001,1,1,0,1,0,0,0,1,0.5
SternJudging,Stern_Judging_v7,1001,11011011,1,1,0,1,1,0,1,1,0.5
SternJudging,Stern_Judging_v8,1001,11011001,1,1,0,1,1,0,0,1,0.25
SternJudging,Stern_Judging_v9,1001,10000011,1,0,0,0,0,0,1,1,0.75
SternJudging,Stern_Judging_v10,1001,10000001,1,0,0,0,0,0,0,1,0.5
SternJudging,Stern_Judging_v11,1001,10001011,1,0,0,0,1,0,1,1,0.5
SternJudging,Stern_Judging_v12,1001,10001001,1,0,0,0,1,0,0,1,0.25
SternJudging,Stern_Judging_v13,1001,10010011,1,0,0,1,0,0,1,1,0.5
SternJudging,Stern_Judging_v14,1001,10010001,1,0,0,1,0,0,0,1,0.25
SternJudging,Stern_Judging_v15,1001,10011011,1,0,0,1,1,0,1,1,0.25
SternJudging,Stern_Judging_v16,1001,10011001,1,0,0,1,1,0,0,1,0.0
ImageScoring,Image_Scoring_v1,11,1111,0,0,0,0,1,1,1,1,1.0
ImageScoring,Image_Scoring_v2,11,1101,0,0,0,0,1,1,0,1,0.75
ImageScoring,Image_Scoring_v3,11,111,0,0,0,0,0,1,1,1,0.75
ImageScoring,Image_Scoring_v4,11,101,0,0,0,0,0,1,0,1,0.5
ImageScoring,Image_Scoring_v5,11,11111,0,0,0,1,1,1,1,1,0.75
ImageScoring,Image_Scoring_v6,11,11101,0,0,0,1,1,1,0,1,0.5
ImageScoring,Image_Scoring_v7,11,10111,0,0,0,1,0,1,1,1,0.5
ImageScoring,Image_Scoring_v8,11,10101,0,0,0,1,0,1,0,1,0.25
ImageScoring,Image_Scoring_v9,11,1001111,0,1,0,0,1,1,1,1,0.75
ImageScoring,Image_Scoring_v10,11,1001101,0,1,0,0,1,1,0,1,0.5
ImageScoring,Image_Scoring_v11,11,1000111,0,1,0,0,0,1,1,1,0.5
ImageScoring,Image_Scoring_v12,11,1000101,0,1,0,0,0,1,0,1,0.25
ImageScoring,Image_Scoring_v13,11,1011111,0,1,0,1,1,1,1,1,0.5
ImageScoring,Image_Scoring_v14,11,1011101,0,1,0,1,1,1,0,1,0.25
ImageScoring,Image_Scoring_v15,11,1010111,0,1,0,1,0,1,1,1,0.25
ImageScoring,Image_Scoring_v16,11,1010101,0,1,0,1,0,1,0,1,0.0
SimpleStanding,Simple_Standing_v1,1011,11001111,1,1,0,0,1,1,1,1,1.0
SimpleStanding,Simple_Standing_v2,1011,11001101,1,1,0,0,1,1,0,1,0.75
SimpleStanding,Simple_Standing_v3,1011,11000111,1,1,0,0,0,1,1,1,0.75
SimpleStanding,Simple_Standing_v4,1011,11000101,1,1,0,0,0,1,0,1,0.5
SimpleStanding,Simple_Standing_v5,1011,11011111,1,1,0,1,1,1,1,1,0.75
SimpleStanding,Simple_Standing_v6,1011,11011101,1,1,0,1,1,1,0,1,0.5
SimpleStanding,Simple_Standing_v7,1011,11010111,1,1,0,1,0,1,1,1,0.5
SimpleStanding,Simple_Standing_v8,1011,11010101,1,1,0,1,0,1,0,1,0.25
SimpleStanding,Simple_Standing_v9,1011,10001111,1,0,0,0,1,1,1,1,0.75
SimpleStanding,Simple_Standing_v10,1011,10001101,1,0,0,0,1,1,0,1,0.5
SimpleStanding,Simple_Standing_v11,1011,10000111,1,0,0,0,0,1,1,1,0.5
SimpleStanding,Simple_Standing_v12,1011,10000101,1,0,0,0,0,1,0,1,0.25
SimpleStanding,Simple_Standing_v13,1011,10011111,1,0,0,1,1,1,1,1,0.5
SimpleStanding,Simple_Standing_v14,1011,10011101,1,0,0,1,1,1,0,1,0.25
SimpleStanding,Simple_Standing_v15,1011,10010111,1,0,0,1,0,1,1,1,0.25
SimpleStanding,Simple_Standing_v16,1011,10010101,1,0,0,1,0,1,0,1,0.0
Shunning,Shunning_v1,1,11,0,0,0,0,0,0,1,1,1.0
Shunning,Shunning_v2,1,1,0,0,0,0,0,0,0,1,0.75
Shunning,Shunning_v3,1,1011,0,0,0,0,1,0,1,1,0.75
Shunning,Shunning_v4,1,1001,0,0,0,0,1,0,0,1,0.5
Shunning,Shunning_v5,1,10011,0,0,0,1,0,0,1,1,0.75
Shunning,Shunning_v6,1,10001,0,0,0,1,0,0,0,1,0.5
Shunning,Shunning_v7,1,11011,0,0,0,1,1,0,1,1,0.5
Shunning,Shunning_v8,1,11001,0,0,0,1,1,0,0,1,0.25
Shunning,Shunning_v9,1,1000011,0,1,0,0,0,0,1,1,0.75
Shunning,Shunning_v10,1,1000001,0,1,0,0,0,0,0,1,0.5
Shunning,Shunning_v11,1,1001011,0,1,0,0,1,0,1,1,0.5
Shunning,Shunning_v12,1,1001001,0,1,0,0,1,0,0,1,0.25
Shunning,Shunning_v13,1,1010011,0,1,0,1,0,0,1,1,0.5
Shunning,Shunning_v14,1,1010001,0,1,0,1,0,0,0,1,0.25
Shunning,Shunning_v15,1,1011011,0,1,0,1,1,0,1,1,0.25
Shunning,Shunning_v16,1,1011001,0,1,0,1,1,0,0,1,0.0
AlwaysGood,AlwaysGood,1111,11111111,1,1,1,1,1,1,1,1,1.0
sj_elite,sj_elite_v1,1001,01011001,0,0,0,0,0,0,0,0,0.0
sj_elite,sj_elite_v2,1001,01010101,0,0,0,0,0,0,0,0,0.0
sj_elite,sj_elite_v3,1001,01000111,0,0,0,0,0,0,0,0,0.0
sj_elite,sj_elite_v4,1001,01011101,0,0,0,0,0,0,0,0,0.0
sj_elite,sj_elite_v5,1001,01010111,0,0,0,0,0,0,0,0,0.0
sj_elite,sj_elite_v6,1001,11010101,0,0,0,0,0,0,0,0,0.0
sj_elite,sj_elite_v7,1001,11000111,0,0,0,0,0,0,0,0,0.0
is_elite,is_elite_v1,0011,11001001,0,0,0,0,0,0,0,0,0.0
is_elite,is_elite_v2,0011,11001101,0,0,0,0,0,0,0,0,0.0
is_elite,is_elite_v3,0011,10001001,0,0,0,0,0,0,0,0,0.0
is_elite,is_elite_v4,0011,01001001,0,0,0,0,0,0,0,0,0.0
is_elite,is_elite_v5,0011,11000101,0,0,0,0,0,0,0,0,0.0
is_elite,is_elite_v6,0011,01001101,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v1,0001,10001001,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v2,0001,01000101,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v3,0001,01000111,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v4,0001,11000111,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v5,0001,11001001,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v6,0001,11000101,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v7,0001,11001101,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v8,0001,01100101,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v9,0001,11100101,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v10,0001,00000101,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v11,0001,01001101,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v12,0001,01100011,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v13,0001,11010011,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v14,0001,11011101,0,0,0,0,0,0,0,0,0.0
sh_elite,sh_elite_v15,0001,01101101,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v1,1011,10101001,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v2,1011,01011101,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v3,1011,10001001,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v4,1011,00011001,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v5,1011,11011101,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v6,1011,00011101,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v7,1011,11001001,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v8,1011,11000101,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v9,1011,01000111,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v10,1011,01010101,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v11,1011,10011101,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v12,1011,11001101,0,0,0,0,0,0,0,0,0.0
ss_elite,ss_elite_v13,1011,11010101,0,0,0,0,0,0,0,0,0.0
