base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(0, 1), (0, 0)], [(0, 0), (1, 1)]]",50,1000,1.0,0.01,0.01,0.0,0.8,0.8,emotion,5,1,1.0,1000,200,0.0,1.0,0.0,1.0,5.099,0.273,0.36,0.0,0.0,0.2,0.8,0.2,0.8
"[[1, 0], [0, 1]]","[[(0, 1), (0, 0)], [(0, 0), (1, 1)]]",50,1000,1.0,0.01,0.01,0.0,0.8,0.8,emotion,5,1,1.0,1000,200,0.0,1.0,0.0,1.0,4.792,0.311,0.5,0.0,0.14,0.02,0.84,0.84,0.16
"[[1, 0], [0, 1]]","[[(0, 1), (0, 0)], [(0, 0), (1, 1)]]",50,1000,1.0,0.01,0.01,0.0,0.8,0.8,emotion,5,1,1.0,1000,200,0.0,1.0,0.0,1.0,5.066,0.143,0.46,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(0, 1), (0, 0)], [(0, 0), (1, 1)]]",50,1000,1.0,0.01,0.01,0.0,0.8,0.8,emotion,5,1,1.0,1000,200,0.0,1.0,0.0,1.0,71.197,0.948,0.96,0.0,1.0,0.0,0.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(0, 1), (0, 0)], [(0, 0), (1, 1)]]",50,1000,1.0,0.01,0.01,0.0,0.8,0.8,emotion,5,1,1.0,1000,200,0.0,1.0,0.0,1.0,61.742,0.412,0.2,0.0,0.0,0.0,1.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(0, 1), (0, 0)], [(0, 0), (1, 1)]]",50,1000,1.0,0.01,0.01,0.0,0.8,0.8,emotion,5,1,1.0,1000,200,0.0,1.0,0.0,1.0,91.013,0.932,0.94,0.0,0.98,0.02,0.0,0.02,0.98
"[[1, 0], [0, 1]]","[[(0, 1), (0, 0)], [(0, 0), (1, 1)]]",50,1000,1.0,0.01,0.01,0.0,0.8,0.8,emotion,5,1,1.0,1000,200,0.0,1.0,0.0,1.0,91.038,0.916,0.88,0.06,0.88,0.02,0.04,0.12,0.88
"[[1, 0], [0, 1]]","[[(0, 1), (0, 0)], [(0, 0), (1, 1)]]",50,1000,1.0,0.01,0.01,0.0,0.8,0.8,emotion,5,1,1.0,1000,200,0.0,1.0,0.0,1.0,19.609,0.47,0.44,0.04,0.14,0.1,0.72,0.72,0.28
"[[1, 0], [0, 1]]","[[(0, 1), (0, 0)], [(0, 0), (1, 1)]]",50,1000,1.0,0.01,0.01,0.0,0.8,0.8,emotion,5,1,1.0,1000,200,0.0,1.0,0.0,1.0,52.384,0.998,0.0,0.08,0.0,0.92,0.0,0.92,0.08
"[[1, 0], [0, 1]]","[[(0, 1), (0, 0)], [(0, 0), (1, 1)]]",50,1000,1.0,0.01,0.01,0.0,0.8,0.8,emotion,5,1,1.0,1000,200,0.0,1.0,0.0,1.0,55.966,0.938,0.96,0.2,0.8,0.0,0.0,0.2,0.8
