base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",150,6000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1500,0.0,1.0,0.0,1.0,3.817,0.324,0.733,0.0,0.96,0.0067,0.0,0.0067,0.0,0.0267,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",150,6000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1500,0.0,1.0,0.0,1.0,3.857,0.202,0.847,0.9667,0.0,0.0,0.0,0.0,0.02,0.0,0.0133
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",150,6000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1500,0.0,1.0,0.0,1.0,3.891,0.43,0.387,0.8533,0.0,0.0,0.1267,0.0,0.0133,0.0,0.0067
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",150,6000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1500,0.0,1.0,0.0,1.0,3.89,0.228,0.76,0.9067,0.0,0.0133,0.0533,0.0,0.02,0.0,0.0067
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",150,6000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1500,0.0,1.0,0.0,1.0,3.832,0.47,0.213,0.9667,0.0,0.0,0.02,0.0,0.0067,0.0,0.0067
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",150,6000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1500,0.0,1.0,0.0,1.0,3.799,0.102,0.6,0.9933,0.0,0.0,0.0,0.0,0.0067,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",150,6000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1500,0.0,1.0,0.0,1.0,3.818,0.16,0.127,0.0,0.98,0.0067,0.0067,0.0,0.0,0.0067,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",150,6000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1500,0.0,1.0,0.0,1.0,3.819,0.302,0.82,0.86,0.0,0.0,0.06,0.0,0.0533,0.0,0.0267
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",150,6000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1500,0.0,1.0,0.0,1.0,90.45,0.906,0.92,0.02,0.0,0.0,0.9733,0.0,0.0,0.0067,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",150,6000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1500,0.0,1.0,0.0,1.0,90.331,0.925,0.027,0.0,0.0067,0.0133,0.0,0.9,0.0,0.0,0.08
